text,tag,session,language,sentiment_result,sentiment,sentiment_score,emotion_result,emotion,emotion_score,emotion_intensity,topic,session_text,session_summary,alert,consec_alert,session_alert
hey,greetings,1,en,"{'label': 'POSITIVE', 'score': 0.9979209303855896}",POSITIVE,0.9979209303855896,"{'label': 'neutral', 'score': 0.8051064610481262}",neutral,0.8051064610481262,Strong,-1,hey what's up? how is it going,Too short for summary,NORMAL,0,OK
what's up?,greetings,1,en,"{'label': 'POSITIVE', 'score': 0.9827739000320435}",POSITIVE,0.9827739000320435,"{'label': 'surprise', 'score': 0.8393446207046509}",surprise,0.8393446207046509,Strong,-1,hey what's up? how is it going,Too short for summary,NORMAL,0,OK
how is it going,greetings,1,en,"{'label': 'NEGATIVE', 'score': 0.9115278720855713}",NEGATIVE,0.9115278720855713,"{'label': 'neutral', 'score': 0.5213697552680969}",neutral,0.5213697552680969,Moderate,-1,hey what's up? how is it going,Too short for summary,NORMAL,0,OK
How do I cope with 'never being good enough?',self-esteem-A,2,en,"{'label': 'NEGATIVE', 'score': 0.9993010759353638}",NEGATIVE,0.9993010759353638,"{'label': 'fear', 'score': 0.5563088655471802}",fear,0.5563088655471802,Moderate,-1,"How do I cope with 'never being good enough?' I'm always told I'm not good enough or trying hard enough. I put my all in to every thing. I'm worn out, I've worked on all of my family relationships, I'm doing great in school, I'm kind to those in need and otherwise. I stick to my religious beliefs and leave room for mistakes and learn from others so I don't have to make as many and the ones I do I learn from. Somehow it's still not good enough and nothing I do works. Nothing has changed, and I feel hopeless. Any suggestions or ideas?","how do you cope with 'never being good enough?'? I'm worn out, I'm doing great in school, I'm kind to those in need and otherwise.",NORMAL,1,OK
I'm always told I'm not good enough or trying hard enough.,self-esteem-A,2,en,"{'label': 'NEGATIVE', 'score': 0.9997381567955017}",NEGATIVE,0.9997381567955017,"{'label': 'neutral', 'score': 0.5142449140548706}",neutral,0.5142449140548706,Moderate,0,"How do I cope with 'never being good enough?' I'm always told I'm not good enough or trying hard enough. I put my all in to every thing. I'm worn out, I've worked on all of my family relationships, I'm doing great in school, I'm kind to those in need and otherwise. I stick to my religious beliefs and leave room for mistakes and learn from others so I don't have to make as many and the ones I do I learn from. Somehow it's still not good enough and nothing I do works. Nothing has changed, and I feel hopeless. Any suggestions or ideas?","how do you cope with 'never being good enough?'? I'm worn out, I'm doing great in school, I'm kind to those in need and otherwise.",NORMAL,1,OK
I put my all in to every thing.,self-esteem-A,2,en,"{'label': 'POSITIVE', 'score': 0.7727696895599365}",POSITIVE,0.7727696895599365,"{'label': 'anger', 'score': 0.38098034262657166}",anger,0.38098034262657166,Mild,0,"How do I cope with 'never being good enough?' I'm always told I'm not good enough or trying hard enough. I put my all in to every thing. I'm worn out, I've worked on all of my family relationships, I'm doing great in school, I'm kind to those in need and otherwise. I stick to my religious beliefs and leave room for mistakes and learn from others so I don't have to make as many and the ones I do I learn from. Somehow it's still not good enough and nothing I do works. Nothing has changed, and I feel hopeless. Any suggestions or ideas?","how do you cope with 'never being good enough?'? I'm worn out, I'm doing great in school, I'm kind to those in need and otherwise.",NORMAL,1,OK
"I'm worn out, I've worked on all of my family relationships, I'm doing great in school, I'm kind to those in need and otherwise. I stick to my religious beliefs and leave room for mistakes and learn from others so I don't have to make as many and the ones I do I learn from.",self-esteem-A,2,en,"{'label': 'POSITIVE', 'score': 0.9591984748840332}",POSITIVE,0.9591984748840332,"{'label': 'neutral', 'score': 0.7319167256355286}",neutral,0.7319167256355286,Strong,-1,"How do I cope with 'never being good enough?' I'm always told I'm not good enough or trying hard enough. I put my all in to every thing. I'm worn out, I've worked on all of my family relationships, I'm doing great in school, I'm kind to those in need and otherwise. I stick to my religious beliefs and leave room for mistakes and learn from others so I don't have to make as many and the ones I do I learn from. Somehow it's still not good enough and nothing I do works. Nothing has changed, and I feel hopeless. Any suggestions or ideas?","how do you cope with 'never being good enough?'? I'm worn out, I'm doing great in school, I'm kind to those in need and otherwise.",NORMAL,1,OK
"Somehow it's still not good enough and nothing I do works. Nothing has changed, and I feel hopeless. Any suggestions or ideas?",self-esteem-A,2,en,"{'label': 'NEGATIVE', 'score': 0.999702513217926}",NEGATIVE,0.999702513217926,"{'label': 'sadness', 'score': 0.9514871835708618}",sadness,0.9514871835708618,Extreme,0,"How do I cope with 'never being good enough?' I'm always told I'm not good enough or trying hard enough. I put my all in to every thing. I'm worn out, I've worked on all of my family relationships, I'm doing great in school, I'm kind to those in need and otherwise. I stick to my religious beliefs and leave room for mistakes and learn from others so I don't have to make as many and the ones I do I learn from. Somehow it's still not good enough and nothing I do works. Nothing has changed, and I feel hopeless. Any suggestions or ideas?","how do you cope with 'never being good enough?'? I'm worn out, I'm doing great in school, I'm kind to those in need and otherwise.",ALERT,1,OK
I feel like I hate myself physically and emotionally sometimes.,self-esteem-A,3,en,"{'label': 'NEGATIVE', 'score': 0.9992068409919739}",NEGATIVE,0.9992068409919739,"{'label': 'anger', 'score': 0.6433678865432739}",anger,0.6433678865432739,Moderate,0,"I feel like I hate myself physically and emotionally sometimes. How can I start accepting myself and be more confident? Why am I starting to not like myself? For the past year, I have been feeling pressured to do well in school, and it put a ton of stress on me I have been bullied for five years for taking stress, it is now sinking in, and I can't stop it. For some other reason, I can't find a hobby I can see myself doing without thinking bad about myself Why do I feel like I can never meet people's expectations? Why am I so nervous talking to people? How can I feel less self-conscious about my weight? I'm a teenage girl, and I feel very bad about my weight. I don't know how to make it stop.",I feel like I hate myself physically and emotionally sometimes. why am I starting to not like myself? why am I starting to not like myself? why am I so nervous talking to people? why am I so nervous talking to people?,NORMAL,1,OK
How can I start accepting myself and be more confident?,self-esteem-A,3,en,"{'label': 'NEGATIVE', 'score': 0.991087019443512}",NEGATIVE,0.991087019443512,"{'label': 'fear', 'score': 0.646993100643158}",fear,0.646993100643158,Moderate,0,"I feel like I hate myself physically and emotionally sometimes. How can I start accepting myself and be more confident? Why am I starting to not like myself? For the past year, I have been feeling pressured to do well in school, and it put a ton of stress on me I have been bullied for five years for taking stress, it is now sinking in, and I can't stop it. For some other reason, I can't find a hobby I can see myself doing without thinking bad about myself Why do I feel like I can never meet people's expectations? Why am I so nervous talking to people? How can I feel less self-conscious about my weight? I'm a teenage girl, and I feel very bad about my weight. I don't know how to make it stop.",I feel like I hate myself physically and emotionally sometimes. why am I starting to not like myself? why am I starting to not like myself? why am I so nervous talking to people? why am I so nervous talking to people?,NORMAL,1,OK
